,Date,start,Visitor Team,visitorPts,Home Team,homePts,Score Type,OT?,Notes,HomeWin,HomeLastWin,VisitorLastWin
0,2013-10-29,7:00 pm,Orlando Magic,87,Indiana Pacers,97,Box Score,,,True,True,False
1,2013-10-29,10:30 pm,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,,True,True,False
2,2013-10-29,8:00 pm,Chicago Bulls,95,Miami Heat,107,Box Score,,,True,True,False
3,2013-10-30,7:00 pm,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,,True,True,False
4,2013-10-30,8:30 pm,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,,True,True,False
5,2013-10-30,7:30 pm,Washington Wizards,102,Detroit Pistons,113,Box Score,,,True,True,False
6,2013-10-30,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,,True,True,False
7,2013-10-30,8:00 pm,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,,True,True,False
8,2013-10-30,8:00 pm,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,,True,True,False
9,2013-10-30,8:00 pm,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,,False,False,True
10,2013-10-30,7:30 pm,Milwaukee Bucks,83,New York Knicks,90,Box Score,,,True,True,False
11,2013-10-30,7:00 pm,Miami Heat,110,Philadelphia 76ers,114,Box Score,,,True,True,False
12,2013-10-30,10:00 pm,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,,True,True,False
13,2013-10-30,10:00 pm,Denver Nuggets,88,Sacramento Kings,90,Box Score,,,True,True,False
14,2013-10-30,8:30 pm,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,,True,True,False
15,2013-10-30,7:00 pm,Boston Celtics,87,Toronto Raptors,93,Box Score,,,True,True,False
16,2013-10-30,9:00 pm,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,,False,False,True
17,2013-10-31,8:00 pm,New York Knicks,81,Chicago Bulls,82,Box Score,,,True,True,False
18,2013-10-31,10:30 pm,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,,True,True,False
19,2013-11-01,7:30 pm,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,,True,True,False
20,2013-11-01,7:30 pm,Milwaukee Bucks,105,Boston Celtics,98,Box Score,,,False,False,True
21,2013-11-01,8:00 pm,Miami Heat,100,Brooklyn Nets,101,Box Score,,,True,True,False
22,2013-11-01,7:00 pm,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,,,True,True,False
23,2013-11-01,9:00 pm,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,,,False,False,True
24,2013-11-01,8:00 pm,Dallas Mavericks,105,Houston Rockets,113,Box Score,,,True,True,False
25,2013-11-01,10:30 pm,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,,,False,False,True
26,2013-11-01,8:00 pm,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,OT,,True,True,False
27,2013-11-01,8:00 pm,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,,,True,True,False
28,2013-11-01,7:00 pm,New Orleans Pelicans,90,Orlando Magic,110,Box Score,,,True,True,False
29,2013-11-01,10:00 pm,Utah Jazz,84,Phoenix Suns,87,Box Score,,,True,True,False
30,2013-11-01,10:00 pm,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,,,False,False,True
31,2013-11-01,7:00 pm,Philadelphia 76ers,109,Washington Wizards,102,Box Score,,,False,False,True
32,2013-11-02,8:30 pm,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,,,True,True,False
33,2013-11-02,10:30 pm,Sacramento Kings,87,Golden State Warriors,98,Box Score,,,True,True,False
34,2013-11-02,7:00 pm,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,,,True,True,False
35,2013-11-02,8:30 pm,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,,,False,False,True
36,2013-11-02,8:00 pm,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,,,True,True,False
37,2013-11-02,7:30 pm,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,,,True,True,False
38,2013-11-02,10:00 pm,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,,,True,True,False
39,2013-11-02,9:00 pm,Houston Rockets,104,Utah Jazz,93,Box Score,,,False,False,True
40,2013-11-03,6:00 pm,Boston Celtics,77,Detroit Pistons,87,Box Score,,,True,True,False
41,2013-11-03,9:30 pm,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,,,True,True,False
42,2013-11-03,6:00 pm,Washington Wizards,93,Miami Heat,103,Box Score,,,True,True,False
43,2013-11-03,7:30 pm,Minnesota Timberwolves,109,New York Knicks,100,Box Score,,,False,False,True
44,2013-11-03,7:00 pm,Phoenix Suns,96,Oklahoma City Thunder,103,Box Score,,,True,True,False
45,2013-11-03,6:00 pm,Brooklyn Nets,86,Orlando Magic,107,Box Score,,,True,True,False
46,2013-11-04,7:00 pm,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,,,True,True,False
47,2013-11-04,10:30 pm,Houston Rockets,118,Los Angeles Clippers,137,Box Score,,,True,True,False
